Time,Distance(mm.)
1784516399967.714,0
1784516400067.594,0
1784516400167.669,0
1784516400267.895,0
1784516400370.966,0
1784516400469.7139,0
1784516400569.0251,0
1784516400668.6147,0
1784516400768.141,0
1784516400868.6929,0
1784516400988.2231,0
1784516401088.445,0
1784516401191.6501,0
1784516401290.656,0
1784516401389.8518,0
1784516401488.328,0
1784516401592.087,0
1784516401689.619,0
1784516401789.509,0
1784516401890.368,0
1784516401991.9219,0
1784516402091.713,0
1784516402189.9587,0
1784516402289.5352,0
1784516402407.753,0
1784516402507.524,0
1784516402607.715,0
1784516402707.9822,0
1784516402807.803,0
1784516402907.742,0
1784516403008.079,0
1784516403108.2,0
1784516403208.262,0
1784516403309.144,0
1784516403410.4463,0
1784516403510.387,0
1784516403628.323,0
1784516403728.122,0
1784516403828.342,0
1784516403928.306,0
1784516404028.383,0
1784516404128.532,0
1784516404227.659,0
1784516404327.7349,0
1784516404428.25,0
1784516404527.878,0
1784516404628.152,0
1784516404728.285,0
1784516404828.8289,0
1784516404929.3,0
1784516405029.574,0
1784516405130.414,0
1784516405234.044,0
1784516405350.4907,0
1784516405448.204,0
1784516405548.1338,0
1784516405647.944,0
1784516405750.962,0
1784516405849.09,0
1784516405953.9058,0
1784516406052.216,0
1784516406162.6619,0
1784516406268.0828,0
1784516406368.317,0
1784516406467.904,0
1784516406568.337,0
1784516406668.379,0
1784516406768.095,0
1784516406867.562,0
1784516406967.7063,0
1784516407067.715,0
1784516407168.245,0
1784516407267.8188,0
1784516407367.868,0
1784516407467.873,0
1784516407567.8599,0
1784516407667.916,0
1784516407767.6968,0
1784516407867.741,0
1784516407969.573,0
1784516408070.2668,0
1784516408168.2551,0
1784516408270.335,0
1784516408388.4329,0
1784516408488.4238,0
1784516408587.878,0
1784516408688.457,0
1784516408789.203,0
1784516408889.684,0
1784516408990.3318,0
1784516409090.1382,0
1784516409188.718,0
1784516409288.1611,0
1784516409388.733,0
1784516409490.5547,0
1784516409590.398,0
1784516409708.59,0
1784516409808.348,0
1784516409907.9192,0
1784516410007.972,0
1784516410110.567,0
1784516410208.0461,0
1784516410328.089,0
1784516410428.2551,0
1784516410528.289,0
1784516410628.165,0
1784516410728.056,0
1784516410828.1658,0
1784516410928.156,0
1784516411028.416,0
1784516411129.945,0
1784516411228.354,0
1784516411328.194,0
1784516411447.659,0
1784516411548.179,0
1784516411647.825,0
1784516411751.9072,0
1784516411854.574,0
1784516411948.676,0
1784516412048.23,0
1784516412150.7148,0
1784516412248.982,0
1784516412349.1787,0
1784516412468.05,0
1784516412567.7559,0
1784516412667.8872,0
1784516412768.206,0
1784516412868.376,0
1784516412968.139,0
1784516413069.5,0
1784516413168.709,0
1784516413268.664,0
1784516413388.0588,0
1784516413487.704,0
1784516413587.7178,0
1784516413687.744,0
1784516413787.736,0
1784516413887.9668,0
1784516413991.279,0
1784516414091.325,0
1784516414208.681,0
1784516414308.686,0
1784516414409.108,0
1784516414509.2039,0
1784516414608.9832,0
1784516414729.9832,0
