Time,gyro_x,gyro_y,gyro_z
1784516409388.037,0.00143,0.00765,0.0059
1784516409488.732,-0.00026,0.0092,0.00803
1784516409588.706,-0.00066,0.00826,0.00599
1784516409687.7341,-0.00049,0.00816,0.00453
1784516409789.94,0.00045,0.00991,0.00624
1784516409887.96,-0.00088,0.00762,0.00806
1784516409988.0938,-0.0026,0.0087,0.00469
1784516410088.0552,-0.003,0.00821,0.00552
1784516410187.811,-0.00382,0.00696,0.0048
1784516410308.0771,-0.00215,0.00806,0.0064
1784516410408.6301,-0.00153,0.00935,0.00409
1784516410508.6611,-0.00054,0.00683,0.00724
1784516410608.8179,-0.00227,0.00809,0.00669
1784516410707.9028,-0.00234,0.00762,0.00631
1784516410809.3682,-0.00086,0.00717,0.00587
1784516410912.587,-0.00197,0.00969,0.00591
1784516411027.799,-0.00084,0.00888,0.00558
1784516411129.281,-0.00218,0.00618,0.00911
1784516411227.684,0.00148,0.00676,0.00712
1784516411327.7239,0.00203,0.00624,0.00711
1784516411429.155,0.00072,0.00677,0.00821
1784516411528.6418,-0.00186,0.0061,0.00734
1784516411628.234,-0.00177,0.01063,0.00646
1784516411749.289,-0.00228,0.0088,0.00502
1784516411843.4438,-0.00142,0.00622,0.00607
1784516411948.1,-0.00324,0.01114,0.00658
1784516412047.742,0.00051,0.0048,0.00702
1784516412149.208,-0.00239,0.00894,0.00539
1784516412248.1191,-0.0022,0.0081,0.00666
1784516412348.332,-0.00074,0.00658,0.00867
1784516412449.503,-0.00082,0.00922,0.00525
1784516412547.8652,0.00159,0.01165,0.00279
1784516412647.729,1e-05,0.01051,0.00564
1784516412748.5361,-0.0014,0.00879,0.00599
1784516412848.881,7e-05,0.00978,0.00446
1784516412949.9578,-0.00035,0.00849,0.00637
1784516413068.341,-0.00141,0.00595,0.00686
1784516413168.0078,-0.00251,0.0084,0.00537
1784516413267.9412,-0.00101,0.00728,0.00523
1784516413367.871,-0.00171,0.00984,0.00385
1784516413467.762,-0.00279,0.00853,0.00594
1784516413567.8762,-0.00015,0.00659,0.00302
1784516413667.694,0.00177,0.00602,0.0054
1784516413767.715,-0.00086,0.00883,0.00694
1784516413867.989,-0.00248,0.00935,0.00753
1784516413989.687,0.00016,0.00793,0.00674
1784516414089.657,-0.00042,0.00841,0.0068
1784516414188.843,-0.00127,0.00568,0.00565
1784516414288.821,-0.00185,0.00721,0.00615
1784516414389.205,0.00097,0.00611,0.00644
1784516414489.2212,-0.00194,0.00706,0.00521
1784516414589.5469,-0.00166,0.00763,0.00603
1784516414729.1147,0.00105,0.00705,0.00718
