Time,X,Y
1784806993429.6318,0.23431,0.03627
1784806993489.1519,0.25894,0.03668
1784806993529.008,0.28631,0.03747
1784806993590.309,0.31753,0.03786
1784806993630.3943,0.34975,0.03857
1784806993690.552,0.37976,0.03969
1784806993749.847,0.40779,0.0406
1784806993790.44,0.43727,0.04127
1784806993850.204,0.47014,0.0425
1784806993889.944,0.50466,0.04338
1784806993949.367,0.53774,0.04456
1784806993989.229,0.56828,0.04537
1784806994049.0261,0.59921,0.04601
1784806994089.5437,0.63284,0.04644
1784806994149.9011,0.66832,0.04758
1784806994190.055,0.70346,0.04903
1784806994249.823,0.73619,0.05007
1784806994289.762,0.76459,0.05071
1784806994350.707,0.78824,0.05178
1784806994412.39,0.80969,0.05268
1784806994450.468,0.83153,0.05379
1784806994509.972,0.85288,0.05437
1784806994549.8262,0.87113,0.05492
1784806994610.303,0.88525,0.05502
1784806994652.143,0.89718,0.05544
1784806994711.791,0.90963,0.05596
1784806994750.3638,0.92155,0.05681
1784806994811.012,0.93121,0.05702
1784806994850.588,0.93898,0.05722
1784806994911.1418,0.9467,0.05745
1784806994949.975,0.95383,0.05772
1784806995010.72,0.96101,0.05793
1784806995049.891,0.96785,0.05808
1784806995110.374,0.97415,0.05831
1784806995149.604,0.98011,0.05874
1784806995210.355,0.98589,0.05887
1784806995250.166,0.99148,0.05876
1784806995311.383,0.99487,0.05961
1784806995370.919,0.99192,0.06714
1784806995410.553,0.98951,0.08455
1784806995471.572,0.99046,0.10736
1784806995509.6882,0.99143,0.12996
1784806995570.15,0.99279,0.15796
1784806995609.834,0.99356,0.19043
1784806995670.837,0.9919,0.22041
1784806995710.115,0.99064,0.24723
1784806995770.2178,0.99039,0.27283
1784806995810.051,0.98979,0.29806
1784806995870.2668,0.98618,0.35121
1784806995910.1792,0.98481,0.37894
1784806995970.761,0.98448,0.4066
1784806996029.936,0.98399,0.43483
1784806996070.2651,0.98278,0.46387
1784806996129.924,0.98129,0.49358
1784806996169.707,0.98,0.52394
1784806996230.8328,0.97952,0.55453
1784806996269.6929,0.97935,0.58532
1784806996330.8108,0.97832,0.61641
1784806996370.2432,0.977,0.6479
1784806996430.217,0.97602,0.67968
1784806996470.21,0.97528,0.71181
1784806996530.2349,0.97441,0.74385
1784806996569.96,0.97321,0.77335
1784806996630.23,0.97237,0.79695
1784806996670.723,0.97208,0.81663
1784806996731.029,0.97192,0.83572
1784806996790.242,0.97179,0.85713
1784806996830.2551,0.97151,0.87734
1784806996890.3098,0.97096,0.89269
1784806996951.0852,0.97046,0.90348
1784806996991.622,0.9703,0.91422
1784806997050.9163,0.9697,0.92611
1784806997090.094,0.96858,0.93847
1784806997150.1118,0.96814,0.94658
1784806997189.9377,0.96843,0.95226
1784806997249.9321,0.96846,0.95598
1784806997290.413,0.96872,0.95724
1784806997350.859,0.96881,0.95682
1784806997410.5388,0.9687,0.95608
1784806997450.478,0.96873,0.95599
1784806997509.8528,0.9688,0.95577
1784806997550.664,0.96856,0.95598
1784806997610.4263,0.96851,0.95605
1784806997650.6638,0.96692,0.95636
1784806997710.187,0.95723,0.95808
1784806997749.738,0.93935,0.96059
1784806997810.059,0.91909,0.96122
1784806997850.678,0.89659,0.96131
1784806997910.697,0.87118,0.96145
1784806997950.357,0.84335,0.96209
1784806998010.367,0.8165,0.96234
1784806998050.1492,0.79232,0.96225
1784806998110.387,0.76899,0.96236
1784806998149.6511,0.7427,0.96283
1784806998210.5332,0.6833,0.96324
